ellipseCenterX(px),ellipseCenterY(px),ellipseSemimajor(px),ellipseSemiminor(px),ellipseRotation(deg),inputImage,crater_classification
332.0,440.0,176.0,176.0,0.0,altitude01/longitude02/orientation01_light01,-1
480.0,380.0,148.0,148.0,0.0,altitude01/longitude02/orientation01_light01,-1
1396.0,520.0,92.0,92.0,0.0,altitude01/longitude02/orientation01_light01,-1
676.0,328.0,116.0,116.0,0.0,altitude01/longitude02/orientation01_light01,-1
1120.0,824.0,116.0,116.0,0.0,altitude01/longitude02/orientation01_light01,-1
572.0,204.0,100.0,100.0,0.0,altitude01/longitude02/orientation01_light01,-1
636.0,472.0,112.0,112.0,0.0,altitude01/longitude02/orientation01_light01,-1
868.0,1204.0,100.0,100.0,0.0,altitude01/longitude02/orientation01_light01,-1
556.0,1340.0,80.0,80.0,0.0,altitude01/longitude02/orientation01_light01,-1
556.0,440.0,76.0,76.0,0.0,altitude01/longitude02/orientation01_light01,-1
1208.0,1596.0,74.0,74.0,0.0,altitude01/longitude02/orientation01_light01,-1
148.0,304.0,72.0,72.0,0.0,altitude01/longitude02/orientation01_light01,-1
208.0,840.0,72.0,72.0,0.0,altitude01/longitude02/orientation01_light01,-1
224.0,392.0,72.0,72.0,0.0,altitude01/longitude02/orientation01_light01,-1
492.0,268.0,62.0,62.0,0.0,altitude01/longitude02/orientation01_light01,-1
608.0,368.0,44.0,44.0,0.0,altitude01/longitude02/orientation01_light01,-1
232.0,624.0,164.0,164.0,0.0,altitude01/longitude02/orientation01_light01,-1
1020.0,1040.0,140.0,140.0,0.0,altitude01/longitude02/orientation01_light01,-1
288.0,1552.0,136.0,136.0,0.0,altitude01/longitude02/orientation01_light01,-1
268.0,312.0,154.0,154.0,0.0,altitude01/longitude02/orientation01_light01,-1
228.0,1340.0,156.0,156.0,0.0,altitude01/longitude02/orientation01_light01,-1
1564.0,688.0,148.0,148.0,0.0,altitude01/longitude02/orientation01_light01,-1
996.0,896.0,124.0,124.0,0.0,altitude01/longitude02/orientation01_light01,-1
856.0,1320.0,152.0,152.0,0.0,altitude01/longitude02/orientation01_light01,-1
440.0,620.0,146.0,146.0,0.0,altitude01/longitude02/orientation01_light01,-1
260.0,768.0,126.0,126.0,0.0,altitude01/longitude02/orientation01_light01,-1
116.0,676.0,96.0,96.0,0.0,altitude01/longitude02/orientation01_light01,-1
1200.0,472.0,134.0,134.0,0.0,altitude01/longitude02/orientation01_light01,-1
1588.0,952.0,114.0,114.0,0.0,altitude01/longitude02/orientation01_light01,-1
1124.0,164.0,128.0,128.0,0.0,altitude01/longitude02/orientation01_light01,-1
744.0,144.0,120.0,120.0,0.0,altitude01/longitude02/orientation01_light01,-1
212.0,1748.0,116.0,116.0,0.0,altitude01/longitude02/orientation01_light01,-1
1100.0,724.0,104.0,104.0,0.0,altitude01/longitude02/orientation01_light01,-1
236.0,500.0,96.0,96.0,0.0,altitude01/longitude02/orientation01_light01,-1
