ellipseCenterX(px),ellipseCenterY(px),ellipseSemimajor(px),ellipseSemiminor(px),ellipseRotation(deg),inputImage,crater_classification
1392.0,516.0,88.0,88.0,0.0,altitude01/longitude02/orientation01_light01,-1
416.0,500.0,78.0,78.0,0.0,altitude01/longitude02/orientation01_light01,-1
668.0,440.0,68.0,68.0,0.0,altitude01/longitude02/orientation01_light01,-1
156.0,292.0,54.0,54.0,0.0,altitude01/longitude02/orientation01_light01,-1
184.0,648.0,96.0,96.0,0.0,altitude01/longitude02/orientation01_light02,-1
1380.0,548.0,78.0,78.0,0.0,altitude01/longitude02/orientation01_light02,-1
144.0,296.0,62.0,62.0,0.0,altitude01/longitude02/orientation01_light02,-1
312.0,428.0,152.0,152.0,0.0,altitude01/longitude02/orientation01_light02,-1
252.0,1560.0,128.0,128.0,0.0,altitude01/longitude02/orientation01_light02,-1
212.0,480.0,116.0,116.0,0.0,altitude01/longitude02/orientation01_light02,-1
188.0,960.0,82.0,82.0,0.0,altitude01/longitude02/orientation01_light02,-1
240.0,564.0,84.0,84.0,0.0,altitude01/longitude02/orientation01_light02,-1
208.0,716.0,80.0,80.0,0.0,altitude01/longitude02/orientation01_light02,-1
552.0,1344.0,72.0,72.0,0.0,altitude01/longitude02/orientation01_light02,-1
128.0,1172.0,72.0,72.0,0.0,altitude01/longitude02/orientation01_light02,-1
236.0,804.0,64.0,64.0,0.0,altitude01/longitude02/orientation01_light02,-1
1208.0,1592.0,62.0,62.0,0.0,altitude01/longitude02/orientation01_light02,-1
172.0,760.0,56.0,56.0,0.0,altitude01/longitude02/orientation01_light02,-1
152.0,1260.0,72.0,72.0,0.0,altitude01/longitude02/orientation01_light02,-1
240.0,352.0,62.0,62.0,0.0,altitude01/longitude02/orientation01_light02,-1
1384.0,508.0,74.0,74.0,0.0,altitude01/longitude02/orientation01_light03,-1
144.0,664.0,94.0,94.0,0.0,altitude01/longitude02/orientation01_light03,-1
228.0,836.0,86.0,86.0,0.0,altitude01/longitude02/orientation01_light03,-1
212.0,560.0,104.0,104.0,0.0,altitude01/longitude02/orientation01_light03,-1
140.0,292.0,62.0,62.0,0.0,altitude01/longitude02/orientation01_light03,-1
868.0,1224.0,76.0,76.0,0.0,altitude01/longitude02/orientation01_light03,-1
688.0,400.0,76.0,76.0,0.0,altitude01/longitude02/orientation01_light03,-1
1388.0,536.0,70.0,70.0,0.0,altitude01/longitude02/orientation01_light04,-1
220.0,648.0,78.0,78.0,0.0,altitude01/longitude02/orientation01_light04,-1
240.0,840.0,94.0,94.0,0.0,altitude01/longitude02/orientation01_light04,-1
228.0,564.0,78.0,78.0,0.0,altitude01/longitude02/orientation01_light04,-1
144.0,652.0,72.0,72.0,0.0,altitude01/longitude02/orientation01_light04,-1
484.0,232.0,80.0,80.0,0.0,altitude01/longitude02/orientation01_light04,-1
144.0,472.0,70.0,70.0,0.0,altitude01/longitude02/orientation01_light04,-1
132.0,284.0,48.0,48.0,0.0,altitude01/longitude02/orientation01_light04,-1
176.0,380.0,100.0,100.0,0.0,altitude01/longitude02/orientation01_light05,-1
1404.0,516.0,72.0,72.0,0.0,altitude01/longitude02/orientation01_light05,-1
148.0,300.0,58.0,58.0,0.0,altitude01/longitude02/orientation01_light05,-1
276.0,588.0,140.0,140.0,0.0,altitude01/longitude02/orientation01_light05,-1
1204.0,1592.0,66.0,66.0,0.0,altitude01/longitude02/orientation01_light05,-1
164.0,528.0,96.0,96.0,0.0,altitude01/longitude02/orientation01_light05,-1
128.0,668.0,60.0,60.0,0.0,altitude01/longitude02/orientation01_light05,-1
216.0,668.0,50.0,50.0,0.0,altitude01/longitude02/orientation01_light05,-1
540.0,1900.0,126.0,126.0,0.0,altitude01/longitude02/orientation02_light02,-1
828.0,248.0,60.0,60.0,0.0,altitude01/longitude02/orientation02_light02,-1
544.0,200.0,88.0,88.0,0.0,altitude01/longitude02/orientation02_light02,-1
752.0,256.0,62.0,62.0,0.0,altitude01/longitude02/orientation02_light02,-1
768.0,324.0,64.0,64.0,0.0,altitude01/longitude02/orientation02_light02,-1
884.0,384.0,54.0,54.0,0.0,altitude01/longitude02/orientation02_light02,-1
1256.0,1676.0,186.0,186.0,0.0,altitude01/longitude02/orientation02_light03,-1
544.0,1892.0,136.0,136.0,0.0,altitude01/longitude02/orientation02_light03,-1
1292.0,1568.0,80.0,80.0,0.0,altitude01/longitude02/orientation02_light03,-1
276.0,1652.0,128.0,128.0,0.0,altitude01/longitude02/orientation02_light03,-1
1208.0,1572.0,78.0,78.0,0.0,altitude01/longitude02/orientation02_light03,-1
1156.0,1608.0,68.0,68.0,0.0,altitude01/longitude02/orientation02_light03,-1
1228.0,1676.0,174.0,174.0,0.0,altitude01/longitude02/orientation02_light04,-1
520.0,1868.0,82.0,82.0,0.0,altitude01/longitude02/orientation02_light04,-1
2072.0,244.0,66.0,66.0,0.0,altitude01/longitude02/orientation02_light04,-1
1280.0,1636.0,198.0,198.0,0.0,altitude01/longitude02/orientation02_light05,-1
524.0,1888.0,140.0,140.0,0.0,altitude01/longitude02/orientation02_light05,-1
848.0,176.0,88.0,88.0,0.0,altitude01/longitude02/orientation02_light05,-1
868.0,352.0,76.0,76.0,0.0,altitude01/longitude02/orientation02_light05,-1
808.0,308.0,102.0,102.0,0.0,altitude01/longitude02/orientation02_light05,-1
800.0,428.0,86.0,86.0,0.0,altitude01/longitude02/orientation02_light05,-1
868.0,256.0,76.0,76.0,0.0,altitude01/longitude02/orientation02_light05,-1
764.0,244.0,72.0,72.0,0.0,altitude01/longitude02/orientation02_light05,-1
536.0,212.0,72.0,72.0,0.0,altitude01/longitude02/orientation02_light05,-1
924.0,408.0,58.0,58.0,0.0,altitude01/longitude02/orientation02_light05,-1
760.0,160.0,54.0,54.0,0.0,altitude01/longitude02/orientation02_light05,-1
1936.0,1828.0,198.0,198.0,0.0,altitude01/longitude02/orientation03_light01,-1
976.0,1140.0,182.0,182.0,0.0,altitude01/longitude02/orientation03_light01,-1
1692.0,1888.0,150.0,150.0,0.0,altitude01/longitude02/orientation03_light01,-1
2132.0,1580.0,156.0,156.0,0.0,altitude01/longitude02/orientation03_light01,-1
2164.0,1704.0,152.0,152.0,0.0,altitude01/longitude02/orientation03_light01,-1
1472.0,1804.0,100.0,100.0,0.0,altitude01/longitude02/orientation03_light01,-1
1260.0,956.0,140.0,140.0,0.0,altitude01/longitude02/orientation03_light01,-1
1812.0,1804.0,104.0,104.0,0.0,altitude01/longitude02/orientation03_light01,-1
1968.0,1716.0,88.0,88.0,0.0,altitude01/longitude02/orientation03_light01,-1
2152.0,1936.0,80.0,80.0,0.0,altitude01/longitude02/orientation03_light01,-1
1160.0,1348.0,106.0,106.0,0.0,altitude01/longitude02/orientation03_light01,-1
1792.0,1904.0,88.0,88.0,0.0,altitude01/longitude02/orientation03_light01,-1
1876.0,1720.0,76.0,76.0,0.0,altitude01/longitude02/orientation03_light01,-1
2020.0,1576.0,74.0,74.0,0.0,altitude01/longitude02/orientation03_light01,-1
1176.0,1228.0,88.0,88.0,0.0,altitude01/longitude02/orientation03_light01,-1
2232.0,1920.0,76.0,76.0,0.0,altitude01/longitude02/orientation03_light01,-1
776.0,1752.0,100.0,100.0,0.0,altitude01/longitude02/orientation03_light01,-1
1872.0,1652.0,74.0,74.0,0.0,altitude01/longitude02/orientation03_light01,-1
2036.0,1700.0,68.0,68.0,0.0,altitude01/longitude02/orientation03_light01,-1
1916.0,1584.0,66.0,66.0,0.0,altitude01/longitude02/orientation03_light01,-1
1132.0,1436.0,60.0,60.0,0.0,altitude01/longitude02/orientation03_light01,-1
1768.0,1752.0,62.0,62.0,0.0,altitude01/longitude02/orientation03_light01,-1
1432.0,1032.0,144.0,144.0,0.0,altitude01/longitude02/orientation03_light01,-1
1256.0,1088.0,108.0,108.0,0.0,altitude01/longitude02/orientation03_light01,-1
1052.0,1852.0,120.0,120.0,0.0,altitude01/longitude02/orientation03_light01,-1
2076.0,1764.0,100.0,100.0,0.0,altitude01/longitude02/orientation03_light01,-1
1004.0,1376.0,64.0,64.0,0.0,altitude01/longitude02/orientation03_light01,-1
920.0,1716.0,64.0,64.0,0.0,altitude01/longitude02/orientation03_light01,-1
204.0,404.0,72.0,72.0,0.0,altitude01/longitude02/orientation03_light01,-1
1428.0,1860.0,60.0,60.0,0.0,altitude01/longitude02/orientation03_light01,-1
252.0,368.0,66.0,66.0,0.0,altitude01/longitude02/orientation03_light01,-1
1028.0,1576.0,66.0,66.0,0.0,altitude01/longitude02/orientation03_light01,-1
2132.0,1984.0,50.0,50.0,0.0,altitude01/longitude02/orientation03_light01,-1
1176.0,1052.0,58.0,58.0,0.0,altitude01/longitude02/orientation03_light01,-1
1468.0,1724.0,54.0,54.0,0.0,altitude01/longitude02/orientation03_light01,-1
1404.0,1812.0,48.0,48.0,0.0,altitude01/longitude02/orientation03_light01,-1
528.0,1408.0,62.0,62.0,0.0,altitude01/longitude02/orientation03_light01,-1
2204.0,1968.0,60.0,60.0,0.0,altitude01/longitude02/orientation03_light01,-1
1116.0,1092.0,50.0,50.0,0.0,altitude01/longitude02/orientation03_light01,-1
964.0,1660.0,48.0,48.0,0.0,altitude01/longitude02/orientation03_light01,-1
1988.0,1492.0,58.0,58.0,0.0,altitude01/longitude02/orientation03_light01,-1
1212.0,1172.0,48.0,48.0,0.0,altitude01/longitude02/orientation03_light01,-1
580.0,1356.0,46.0,46.0,0.0,altitude01/longitude02/orientation03_light01,-1
1992.0,1792.0,168.0,168.0,0.0,altitude01/longitude02/orientation03_light03,-1
2056.0,1576.0,160.0,160.0,0.0,altitude01/longitude02/orientation03_light03,-1
1472.0,1804.0,100.0,100.0,0.0,altitude01/longitude02/orientation03_light03,-1
1668.0,1900.0,132.0,132.0,0.0,altitude01/longitude02/orientation03_light03,-1
2192.0,1944.0,104.0,104.0,0.0,altitude01/longitude02/orientation03_light03,-1
1824.0,1820.0,92.0,92.0,0.0,altitude01/longitude02/orientation03_light03,-1
1976.0,1668.0,84.0,84.0,0.0,altitude01/longitude02/orientation03_light03,-1
1428.0,1728.0,104.0,104.0,0.0,altitude01/longitude02/orientation03_light03,-1
2232.0,1880.0,76.0,76.0,0.0,altitude01/longitude02/orientation03_light03,-1
1036.0,1432.0,84.0,84.0,0.0,altitude01/longitude02/orientation03_light03,-1
968.0,1680.0,64.0,64.0,0.0,altitude01/longitude02/orientation03_light03,-1
944.0,1796.0,74.0,74.0,0.0,altitude01/longitude02/orientation03_light03,-1
1764.0,1880.0,64.0,64.0,0.0,altitude01/longitude02/orientation03_light03,-1
1512.0,1744.0,64.0,64.0,0.0,altitude01/longitude02/orientation03_light03,-1
2192.0,1652.0,78.0,78.0,0.0,altitude01/longitude02/orientation03_light03,-1
